date,category,issue,name,price
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161395,CLASSIC ILLUSTRATED HC TIME MACHINE,$15.95
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161999,DEMON PRINCE OF MOMOCHI HOUSE GN VOL 07 (C: 1-0-1),$9.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161516,DF BATMAN TMNT #1 DF EXC HAESER SGN (C: 0-1-2),$27.00
2017-01-04,COMICS & GRAPHIC NOVELS,SEP161636,DF BATMAN TMNT #1 DF EXC TOP SECRET CVR (C: 0-1-2),$19.84
2017-01-04,COMICS & GRAPHIC NOVELS,SEP161639,DF BATMAN TMNT #1 MANNING SGN (C: 0-1-2),$29.99
2017-01-04,COMICS & GRAPHIC NOVELS,JUN161457,DF SUPERMAN #1 TOMASI SGN (C: 0-1-2),$29.99
2017-01-04,COMICS & GRAPHIC NOVELS,AUG161726,DISNEY PRINCESS #8,$2.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161979,DRAGON BALL FULL COLOR FREEZA ARC TP VOL 05 (C: 1-0-1),$19.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161697,DUNGEON TWILIGHT COMP SET VOL 1-4 (C: 0-0-1),$49.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161951,FAITH (ONGOING) #7 CVR A KANO,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161952,FAITH (ONGOING) #7 CVR B LAFUENTE,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161953,FAITH (ONGOING) #7 CVR C TAN,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161768,FRANKEN FRAN OMNIBUS TP VOL 04,$19.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161272,GIANT DAYS #22,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161770,GOLDEN TIME GN VOL 06 (C: 0-1-0),$12.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161594,GRANT MORRISONS 18 DAYS #19 MAIN CVR,$2.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161595,GRANT MORRISONS 18 DAYS #19 SINGH VAR,$2.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT162107,GRIMM FAIRY TALES #1 CVR F BASALDUA,$10.00
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161452,GRUMPY CAT GRUMPUS HC,$12.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161975,HAIKYU GN VOL 07 (C: 1-0-1),$9.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161660,HUNTERS OF SALAMANSTRA #0 CVR A MAIN,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161661,HUNTERS OF SALAMANSTRA #0 CVR B JOSECO,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161662,HUNTERS OF SALAMANSTRA #0 CVR C JOSECO,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161750,JUDGE DREDD COMP CASE FILES TP VOL 28 (C: 0-0-1),$24.99
2017-01-04,COMICS & GRAPHIC NOVELS,SEP161230,KING CAT 76,$5.00
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161664,MARRY ME #1 CVR A MAIN,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161665,MARRY ME #1 CVR B MOKHTAR,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161666,MARRY ME #1 CVR C MOKHTAR,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161893,MASKED #2 (OF 4) CVR A MCCREA,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161894,MASKED #2 (OF 4) CVR B KURTH,$3.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161776,MY GIRLFRIEND IS T REX GN VOL 02 (C: 0-1-0),$12.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161777,MY MONSTER SECRET GN VOL 05 (MR) (C: 0-1-0),$12.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161978,NARUTO 3IN1 TP VOL 17 (C: 1-0-1),$14.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV162000,NISEKOI FALSE LOVE GN VOL 19 (C: 1-0-1),$9.99
2017-01-04,COMICS & GRAPHIC NOVELS,OCT161778,NON NON BIYORI GN VOL 06 (C: 0-1-0),$12.99
2017-01-04,COMICS & GRAPHIC NOVELS,NOV161974,ONE PUNCH MAN GN VOL 10 (C: 1-0-1),$9.99
